identifier,name,surname,gender,birthDate,address,phone,email,qualification,organization
AA-6301,Ana,Anic,FEMALE,01/03/1963,Non,060 000 0001,ana.anic@eng.it,DOCTOR_OF_MEDICINE,AT-11000
DD-7802,Darko,Darkovic,MALE,12/12/1978,Non,060 000 0002,darko.darkovic@eng.it,DOCTOR_OF_MEDICINE,PB-11000
MM-9803,Marko,Markovic,MALE,02/12/1998,Non,060 000 0003,marko.markovic@eng.it,DOCTOR_OF_MEDICINE,CFCS-11000
KK-9704,Kosta,Kostic,MALE,12/12/1997,Non,060 000 0004,kosta.kostic@eng.it,NURSE_PRACTITIONER,SHB-11000
II-8805,Igor,Igorovic,MALE,01/08/1988,Non,060 000 0005,igor.igorovic@eng.it,DOCTOR_OF_MEDICINE,SHB-11000
SS-9706,Sanja,Sanjic,FEMALE,02/12/1997,Non,060 000 0006,sanja.sanjic@eng.it,MEDICAL_ASSISTANT,AT-11000
MM-6507,Mirko,Mirkovic,MALE,12/12/1965,Non,060 000 0007,mirko.mirkovic@eng.it,DOCTOR_OF_MEDICINE,OBK-36000
NN-7008,Nikola,Nikolic,MALE,12/12/1970,Non,060 000 0008,nikola.nikolic@eng.it,DOCTOR_OF_MEDICINE,VBN-18000
NN-7109,Nikolina,Nikolic,FEMALE,10/12/1971,Non,060 000 0009,nikolina.nikolic@eng.it,DOCTOR_OF_MEDICINE,CFCS-11000
SS-8110,Sonja,Sonjic,MALE,12/10/1981,Non,060 000 0010,sonja.sonjic@eng.it,DOCTOR_OF_MEDICINE,VMA-11000
NN-9811,Nick,Nickson,MALE,12/12/1998,Non,060 000 0011,nick.nickson@eng.it,MEDICAL_ASSISTANT,AT-11000
AA-8812,Anna,Annson,MALE,11/08/1988,Non,060 000 0012,anna.annson@eng.it,DOCTOR_OF_MEDICINE,PB-11000
JJ-7813,Jack,Jackson,MALE,01/06/1978,Non,060 000 0013,jack.jackson@eng.it,NURSE_PRACTITIONER,AT-11000
JJ-9414,John,Johnson,MALE,10/01/1994,Non,060 000 0014,john.johnson@eng.it,DOCTOR_OF_MEDICINE,SHB-11000
SS-6515,Steven,Stevenson,MALE,12/12/1965,Non,060 000 0015,steven.stevenson@eng.it,DOCTOR_OF_MEDICINE,AT-11000
JJ-8716,Janny,Jansen,FEMALE,03/04/1987,Non,060 000 0016,darko.darkovic@eng.it,MEDICAL_ASSISTANT,VMA-11000
HH-8917,Hanna,Hansson,FEMALE,01/02/1989,Non,060 000 0017,hanna.hansson@eng.it,DOCTOR_OF_MEDICINE,AT-11000
MM-9818,Mary,Morrison,FEMALE,10/03/1998,Non,060 000 0018,mary.morrison@eng.it,CERTIFIED_NURSE_MIDWIFE,PB-11000
DD-7419,Diane,Deason,FEMALE,02/10/1974,Non,060 000 0019,diane.deason@eng.it,CERTIFIED_NURSE_MIDWIFE,AT-11000
KK-8820,Kobano,Kovanson,OTHER,12/12/1988,Non,060 000 0020,kobano.kobanson@eng.it,NURSE_PRACTITIONER,SHC-11000
HH-9021,Holly,Hollison,UNKNOWN,12/12/1990,Non,060 000 0021,holly.hollison@eng.it,EMERGENCY_MEDICAL_TECHNICIAN,AT-11000
MM-9122,Minna,Minnson,UNKNOWN,02/14/1991,Non,060 000 0022,minna.minnson@eng.it,DOCTOR_OF_MEDICINE,SHC-11000
DD-9223,Dillen,Dillenson,MALE,02/14/1992,Non,060 000 0023,dillen.dillenson@eng.it,DOCTOR_OF_MEDICINE,OB-26000
KK-8624,Kanny,Kannison,FEMALE,04/28/1986,Non,060 000 0024,kanny.kannison@eng.it,MEDICAL_ASSISTANT,OB-26000
KK-7625,Karlo,Karlson,UNKNOWN,08/21/1976,Non,060 000 0025,karlo.karlson@eng.it,DOCTOR_OF_MEDICINE,FMK-34000
FF-8926,Finn,Finnson,MALE,09/02/1989,Non,060 000 0026,finn.finnson@eng.it,DOCTOR_OF_MEDICINE,FMK-34000
GG-9127,Garry,Garrison,MALE,01/25/1991,Non,060 000 0027,garry.garrison@eng.it,NURSE_PRACTITIONER,FMK-34000
PP-9228,Panny,Pannison,FEMALE,05/27/1992,Non,060 000 0028,panny.pannison@eng.it,DOCTOR_OF_MEDICINE,MFNS-21000
DD-9429,Donny,Donnison,MALE,01/22/1994,Non,060 000 0029,donny.donnson@eng.it,DOCTOR_OF_MEDICINE,MFNS-21000
GG-9230,Gringo,Gringson,MALE,06/02/1992,Non,060 000 0030,gringo.gringson@eng.it,MEDICAL_ASSISTANT,MFNS-21000
SS-8731,Sonny,Sonnson,UNKNOWN,02/03/1987,Non,060 000 0031,sonny.sonnson@eng.it,CERTIFIED_NURSE_MIDWIFE,MFNS-21000
RR-7832,Ronald,Ronaldson,UNKNOWN,02/15/1978,Non,060 000 0032,ronald.ronaldson@eng.it,DOCTOR_OF_MEDICINE,MC-12000
MM-9833,Mark,Markson,UNKNOWN,06/11/1998,Non,060 000 0033,mark.markson@eng.it,MEDICAL_ASSISTANT,MC-12000
FF-8634,Fill,Fillson,MALE,09/08/1986,Non,060 000 0033,mark.markson@eng.it,DOCTOR_OF_MEDICINE,HCZ-19000
